RECEIVING_LOCATION,FULFILLING_LOCATION,VOLUME_WEIGHT_BUCKET,PACKAGE_PRODUCT_VOLUME_BUCKET,FACE_PANEL_BUCKET,TV_TYPE,TV_BRAND,TV_SIZE,WG_BG,Writeoff_Percent_Qty
Brampton,ON,i 16000-18000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,c 40-44,B,0.0277
KNN,AB,d 6000-8000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,c 40-44,B,0.0045
Langley,BC,f 10000-12000,f 1.0-1.5,e 1.06-1.08,LED,CHINA,b 30-39,B,0.0081
Brampton,ON,f 10000-12000,f 1.0-1.5,h 1.12-1.14,PLASMA,SAMSUNG,c 40-44,B,0.0073
Brampton,ON,j >18000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,c 40-44,B,0.0028
Brampton,ON,d 6000-8000,g 1.5-2.0,d 1.04-1.06,LED,SAMSUNG,c 40-44,B,0.0128
KNN,AB,f 10000-12000,e 0.8-1.0,f 1.08-1.10,LED,CHINA,a <30,B,0.0322
KNN,AB,e 8000-10000,f 1.0-1.5,g 1.10-1.12,LED,CHINA,a <30,B,0.038
Langley,BC,g 12000-14000,f 1.0-1.5,d 1.04-1.06,LED,SONY,d 45-49,B,0.0141
Brampton,ON,b 2000-4000,h 2.0-3.0,b 1-1.02,4K,SAMSUNG,e 50-56,W,0.0039
Brampton,ON,j >18000,c 0.6-0.7,g 1.10-1.12,LED,SAMSUNG,c 40-44,B,0.0064
Brampton,Ingram,f 10000-12000,d 0.7-0.8,c 1.02-1.04,LED,CHINA,c 40-44,B,0.0233
Indis,QC,h 14000-16000,e 0.8-1.0,d 1.04-1.06,LCD,CHINA,c 40-44,B,0.0259
Langley,BC,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,CHINA,c 40-44,B,0.0095
KNN,AB,c 4000-6000,h 2.0-3.0,e 1.06-1.08,LED,SAMSUNG,c 40-44,B,0.006
Langley,BC,h 14000-16000,e 0.8-1.0,d 1.04-1.06,LCD,CHINA,c 40-44,B,0.011
Brampton,ON,b 2000-4000,h 2.0-3.0,e 1.06-1.08,OTHER,CHINA,a <30,B,0.0608
Langley,BC,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,SAMSUNG,b 30-39,B,0.0015
KNN,AB,h 14000-16000,e 0.8-1.0,d 1.04-1.06,LCD,CHINA,c 40-44,B,0.0123
Brampton,ON,g 12000-14000,f 1.0-1.5,d 1.04-1.06,LED,SONY,f >=57,W,0.0093
Brampton,ON,d 6000-8000,h 2.0-3.0,c 1.02-1.04,LED,SAMSUNG,d 45-49,B,0.024
Brampton,Ingram,g 12000-14000,e 0.8-1.0,g 1.10-1.12,LED,CHINA,b 30-39,B,0.0078
Indis,QC,g 12000-14000,e 0.8-1.0,d 1.04-1.06,LED,CHINA,c 40-44,B,0.0194
KNN,AB,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,CHINA,c 40-44,B,0.0121
Langley,BC,b 2000-4000,i 3.0-4.0,c 1.02-1.04,LED,LG,e 50-56,W,0.0128
Indis,QC,g 12000-14000,g 1.5-2.0,e 1.06-1.08,LED,LG,c 40-44,B,0.008
KNN,AB,f 10000-12000,e 0.8-1.0,d 1.04-1.06,LED,SAMSUNG,e 50-56,W,0.0163
Indis,QC,c 4000-6000,h 2.0-3.0,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0148
Brampton,ON,g 12000-14000,e 0.8-1.0,d 1.04-1.06,LED,CHINA,e 50-56,W,0.0248
Brampton,ON,g 12000-14000,c 0.6-0.7,d 1.04-1.06,LED,LG,e 50-56,B,0.0237
Brampton,ON,d 6000-8000,f 1.0-1.5,f 1.08-1.10,LED,VIZIO,a <30,B,0.02
Brampton,ON,h 14000-16000,c 0.6-0.7,e 1.06-1.08,LED,SAMSUNG,f >=57,W,0.0111
Indis,NS,e 8000-10000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0095
Indis,QC,g 12000-14000,f 1.0-1.5,e 1.06-1.08,LED,SAMSUNG,b 30-39,B,0.0141
Brampton,ON,h 14000-16000,c 0.6-0.7,e 1.06-1.08,LED,LG,d 45-49,W,0.0097
Indis,QC,d 6000-8000,e 0.8-1.0,g 1.10-1.12,OTHER,CHINA,a <30,B,0.069
Brampton,Ingram,e 8000-10000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0081
Brampton,ON,g 12000-14000,b 0.5-0.6,g 1.10-1.12,4K,SAMSUNG,e 50-56,B,0.0017
Langley,BC,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0087
Brampton,ON,f 10000-12000,e 0.8-1.0,f 1.08-1.10,PLASMA,LG,f >=57,W,0.0064
Brampton,ON,f 10000-12000,e 0.8-1.0,d 1.04-1.06,LED,LG,e 50-56,W,0.0294
Brampton,ON,f 10000-12000,d 0.7-0.8,c 1.02-1.04,4K,LG,e 50-56,W,0.0319
Brampton,ON,f 10000-12000,e 0.8-1.0,d 1.04-1.06,LED,VIZIO,f >=57,W,0.0213
Brampton,ON,g 12000-14000,d 0.7-0.8,d 1.04-1.06,4K,SAMSUNG,d 45-49,B,0
